,OptSeries,Side,EntryTTX,EntryPrice,Invested,ExitTTX,ExitPrice,ProfitLoss,%Return
0,"('US 500', '2021-07-16', '14:20', 4332.75)",long,9,71,72,0,100,27,37.5
1,"('US 500', '2021-07-16', '14:20', 4332.75)",long,9,72,73,0,100,26,35.61643835616438
2,"('US 500', '2021-07-16', '14:20', 4332.75)",long,9,73,74,0,100,25,33.78378378378378
3,"('US 500', '2021-07-16', '14:20', 4332.75)",long,9,74,75,0,100,24,32.0
4,"('US 500', '2021-07-16', '14:20', 4332.75)",long,9,75,76,0,100,23,30.263157894736842
5,"('US 500', '2021-07-16', '14:20', 4332.75)",long,9,76,77,0,100,22,28.571428571428573
6,"('US 500', '2021-07-16', '14:20', 4332.75)",long,9,77,78,0,100,21,26.923076923076923
7,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,55,56,0,100,43,76.78571428571429
8,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,56,57,0,100,42,73.6842105263158
9,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,57,58,0,100,41,70.6896551724138
10,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,58,59,0,100,40,67.79661016949153
11,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,59,60,0,100,39,65.0
12,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,60,61,0,100,38,62.295081967213115
13,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,61,62,0,100,37,59.67741935483871
14,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,62,63,0,100,36,57.142857142857146
15,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,63,64,0,100,35,54.6875
16,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,64,65,0,100,34,52.30769230769231
17,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,65,66,0,100,33,50.0
18,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,66,67,0,100,32,47.76119402985075
19,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,67,68,0,100,31,45.588235294117645
20,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,68,69,0,100,30,43.47826086956522
21,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,69,70,0,100,29,41.42857142857143
22,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,70,71,0,100,28,39.436619718309856
23,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,71,72,0,100,27,37.5
24,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,72,73,0,100,26,35.61643835616438
25,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,73,74,0,100,25,33.78378378378378
26,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,74,75,0,100,24,32.0
27,"('US 500', '2021-07-16', '14:20', 4332.75)",long,8,75,76,0,100,23,30.263157894736842
28,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,55,56,0,100,43,76.78571428571429
29,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,56,57,0,100,42,73.6842105263158
30,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,57,58,0,100,41,70.6896551724138
31,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,58,59,0,100,40,67.79661016949153
32,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,59,60,0,100,39,65.0
33,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,60,61,0,100,38,62.295081967213115
34,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,61,62,0,100,37,59.67741935483871
35,"('US 500', '2021-07-16', '14:20', 4332.75)",long,7,62,63,0,100,36,57.142857142857146
36,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,55,56,0,100,43,76.78571428571429
37,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,56,57,0,100,42,73.6842105263158
38,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,57,58,0,100,41,70.6896551724138
39,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,58,59,0,100,40,67.79661016949153
40,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,59,60,0,100,39,65.0
41,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,60,61,0,100,38,62.295081967213115
42,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,61,62,0,100,37,59.67741935483871
43,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,62,63,0,100,36,57.142857142857146
44,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,63,64,0,100,35,54.6875
45,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,64,65,0,100,34,52.30769230769231
46,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,65,66,0,100,33,50.0
47,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,66,67,0,100,32,47.76119402985075
48,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,67,68,0,100,31,45.588235294117645
49,"('US 500', '2021-07-16', '14:20', 4332.75)",long,6,68,69,0,100,30,43.47826086956522
50,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,63,64,0,100,35,54.6875
51,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,64,65,0,100,34,52.30769230769231
52,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,65,66,0,100,33,50.0
53,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,66,67,0,100,32,47.76119402985075
54,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,67,68,0,100,31,45.588235294117645
55,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,68,69,0,100,30,43.47826086956522
56,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,69,70,0,100,29,41.42857142857143
57,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,70,71,0,100,28,39.436619718309856
58,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,71,72,0,100,27,37.5
59,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,72,73,0,100,26,35.61643835616438
60,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,73,74,0,100,25,33.78378378378378
61,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,74,75,0,100,24,32.0
62,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,75,76,0,100,23,30.263157894736842
63,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,76,77,0,100,22,28.571428571428573
64,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,77,78,0,100,21,26.923076923076923
65,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,78,79,0,100,20,25.31645569620253
66,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,79,80,0,100,19,23.75
67,"('US 500', '2021-07-16', '14:20', 4332.75)",long,5,80,81,0,100,18,22.22222222222222
68,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,64,65,0,100,34,52.30769230769231
69,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,65,66,0,100,33,50.0
70,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,66,67,0,100,32,47.76119402985075
71,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,67,68,0,100,31,45.588235294117645
72,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,68,69,0,100,30,43.47826086956522
73,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,69,70,0,100,29,41.42857142857143
74,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,70,71,0,100,28,39.436619718309856
75,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,71,72,0,100,27,37.5
76,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,72,73,0,100,26,35.61643835616438
77,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,73,74,0,100,25,33.78378378378378
78,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,74,75,0,100,24,32.0
79,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,75,76,0,100,23,30.263157894736842
80,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,76,77,0,100,22,28.571428571428573
81,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,77,78,0,100,21,26.923076923076923
82,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,78,79,0,100,20,25.31645569620253
83,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,79,80,0,100,19,23.75
84,"('US 500', '2021-07-16', '14:20', 4332.75)",long,4,80,81,0,100,18,22.22222222222222
85,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,30,71,0,100,-71,-100.0
86,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,31,70,0,100,-70,-100.0
87,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,32,69,0,100,-69,-100.0
88,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,33,68,0,100,-68,-100.0
89,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,34,67,0,100,-67,-100.0
90,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,35,66,0,100,-66,-100.0
91,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,36,65,0,100,-65,-100.0
92,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,37,64,0,100,-64,-100.0
93,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,38,63,0,100,-63,-100.0
94,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,39,62,0,100,-62,-100.0
95,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,40,61,0,100,-61,-100.0
96,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,41,60,0,100,-60,-100.0
97,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,42,59,0,100,-59,-100.0
98,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,43,58,0,100,-58,-100.0
99,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,44,57,0,100,-57,-100.0
100,"('US 500', '2021-07-16', '14:20', 4332.75)",short,7,45,56,0,100,-56,-100.0
101,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,34,67,0,100,-67,-100.0
102,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,35,66,0,100,-66,-100.0
103,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,36,65,0,100,-65,-100.0
104,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,37,64,0,100,-64,-100.0
105,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,38,63,0,100,-63,-100.0
106,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,39,62,0,100,-62,-100.0
107,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,40,61,0,100,-61,-100.0
108,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,41,60,0,100,-60,-100.0
109,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,42,59,0,100,-59,-100.0
110,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,43,58,0,100,-58,-100.0
111,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,44,57,0,100,-57,-100.0
112,"('US 500', '2021-07-16', '14:20', 4332.75)",short,6,45,56,0,100,-56,-100.0
